class,order,family,genus,species,common_name,count_train,count_validation,count_test
Mammalia,Rodentia,Sciuridae,Neotamias,speciosus,Lodgepole Chipmunk,8,0,0
Aves,Strigiformes,Strigidae,Asio,otus,Long-eared Owl,8,0,0
Aves,Passeriformes,Troglodytidae,Thryomanes,bewickii,Bewick's Wren,8,0,0
Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,Wood Stork,8,0,0
Mammalia,Didelphimorphia,Didelphidae,Caluromys,derbianus,Central American Woolly Opossum,8,0,0
Mammalia,Rodentia,Sciuridae,Neotamias,umbrinus,Uinta Chipmunk,8,0,0
Aves,Passeriformes,Petroicidae,Petroica,boodang,Scarlet Robin,8,0,5
Aves,Passeriformes,Turdidae,Turdus,torquatus,Ring Ouzel,8,0,0
Aves,Passeriformes,Tyrannidae,Alectrurus,tricolor,Cock-tailed Tyrant,8,0,0
Aves,Piciformes,Picidae,Melanerpes,formicivorus,Acorn Woodpecker,8,0,7
Mammalia,Macroscelidea,Macroscelididae,Petrodromus,,Petrodromus Species,8,0,0
Mammalia,Primates,Atelidae,Lagothrix,cana,Peruvian Woolly Monkey,8,3,0
Aves,Passeriformes,Maluridae,Malurus,melanocephalus,Red-backed Fairy-wren,8,0,0
Mammalia,Carnivora,Mephitidae,Spilogale,angustifrons,Southern Spotted Skunk,8,0,7
Aves,Passeriformes,Corvidae,Corvus,coronoides,Australian Raven,8,0,14
Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,Little Blue Heron,8,0,0
Aves,Bucerotiformes,Upupidae,Upupa,epops,Eurasian Hoopoe,8,0,0
Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,European Pied Flycatcher,8,0,0
Aves,Passeriformes,Passeridae,Passer,,Passer Species,8,0,0
Aves,Gruiformes,Rallidae,Rallus,limicola,Virginia Rail,8,0,0
Aves,Passeriformes,Muscicapidae,Phoenicurus,schisticeps,White-throated Redstart,8,0,0
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested Cormorant,8,12,0
Aves,Passeriformes,Bernieridae,Oxylabes,madagascariensis,White-throated Oxylabes,7,0,0
Aves,Passeriformes,Tyrannidae,Contopus,virens,Eastern Wood-pewee,7,5,0
Mammalia,Primates,Callitrichidae,Callithrix,jacchus,Common Marmoset,7,0,0
Aves,Passeriformes,Turdidae,Turdus,chiguanco,Chiguanco Thrush,7,0,0
Aves,Charadriiformes,Turnicidae,,,Turnicidae Family,7,0,0
Aves,Charadriiformes,Laridae,Larus,marinus,Great Black-backed Gull,7,0,0
Aves,Passeriformes,Meliphagidae,Sugomel,nigrum,Black Honeyeater,7,0,0
Aves,Passeriformes,Turdidae,Sialia,,Sialia Species,7,0,0
Aves,Strigiformes,Strigidae,Strix,,Strix Species,7,0,0
Aves,Passeriformes,Locustellidae,Poodytes,carteri,Spinifexbird,7,0,0
Aves,Columbiformes,Columbidae,Columbina,passerina,Common Ground-dove,7,0,0
Aves,Passeriformes,Tyrannidae,Lessonia,rufa,Austral Negrito,7,0,0
Mammalia,Primates,Lepilemuridae,Lepilemur,microdon,Small-toothed Sportive Lemur,7,0,0
Mammalia,Primates,Pitheciidae,Pithecia,aequatorialis,Equatorial Saki,7,0,0
Mammalia,Lagomorpha,Leporidae,Brachylagus,idahoensis,Pygmy Rabbit,7,0,0
Mammalia,Primates,Cebidae,Cebus,yuracus,Andean White-fronted Capuchin,7,3,0
Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,Willet,7,0,0
Mammalia,Didelphimorphia,Didelphidae,Philander,mondolfii,Mondolfi's Four-eyed Opossum,7,0,0
Aves,Pelecaniformes,Ardeidae,Agamia,agami,Agami Heron,7,0,0
Mammalia,Rodentia,Caviidae,Kerodon,rupestris,Rock Cavy,7,0,0
Aves,Passeriformes,Cisticolidae,Orthotomus,sericeus,Rufous-tailed Tailorbird,7,0,0
Mammalia,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Little Water Opossum,7,0,0
Aves,Gruiformes,Rallidae,Lewinia,striata,Slaty-breasted Rail,7,0,0
Mammalia,Primates,Lemuridae,Prolemur,simus,Greater Bamboo Lemur,7,5,0
Mammalia,Rodentia,Erethizontidae,,,New World Porcupine Family,7,0,0
Mammalia,Eulipotyphla,Erinaceidae,,,Hedgehog Family,7,0,0
Aves,Passeriformes,Parulidae,Setophaga,palmarum,Palm Warbler,7,2,0
Aves,Bucerotiformes,Phoeniculidae,Phoeniculus,purpureus,Green Woodhoopoe,6,0,0
Aves,Gruiformes,Rallidae,Zapornia,tabuensis,Spotless Crake,6,0,0
Mammalia,Primates,Indriidae,Propithecus,candidus,Silky Sifaka,6,0,0
Aves,Accipitriformes,Accipitridae,Eutriorchis,astur,Madagascar Serpent-eagle,6,0,0
Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,Grey-cheeked Hornbill,6,0,0
Arachnida,,,,,arachnids,6,0,0
Aves,Passeriformes,Muscicapidae,Dessonornis,caffer,Cape Robin-chat,6,0,0
Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail Kite,6,0,0
Aves,Passeriformes,Thamnophilidae,Myrmelastes,hyperythrus,Plumbeous Antbird,6,0,0
Aves,Anseriformes,Anatidae,Spatula,discors,Blue-winged Teal,6,0,0
Aves,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,Groove-billed Ani,6,0,0
Mammalia,Primates,Cebidae,,,Cebidae Family,6,0,0
Mammalia,Carnivora,Felidae,Puma,,Puma Species,6,0,36
Aves,Galliformes,Phasianidae,Bambusicola,thoracicus,Chinese Bamboo Partridge,6,0,0
Aves,Passeriformes,Muscicapidae,Kittacincla,malabarica,White-rumped Shama,6,5,0
Aves,Passeriformes,Turdidae,Turdus,pilaris,Fieldfare,6,0,0
Mammalia,Afrosoricida,Tenrecidae,,,Tenrecidae Family,6,0,0
Aves,Accipitriformes,Accipitridae,Accipiter,melanoleucus,Black Sparrowhawk,6,0,0
Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,imberbis,Lesser Kudu,6,0,0
Aves,Passeriformes,Turdidae,Catharus,fuscescens,Veery,6,0,0
Aves,Accipitriformes,Accipitridae,Buteo,nitidus,Gray-Lined Hawk,6,0,4
Aves,Passeriformes,Sylviidae,Sylvia,melanocephala,Sardinian Warbler,6,0,0
Aves,Passeriformes,Pycnonotidae,Pycnonotus,,Pycnonotus Species,6,1,1
Aves,Passeriformes,Pellorneidae,Trichastoma,malaccense,Short-tailed Babbler,6,0,1
Mammalia,Cetartiodactyla,Moschidae,Moschus,chrysogaster,Alpine Musk Deer,6,0,0
Aves,Passeriformes,Mimidae,,,Mimidae Family,6,0,0
Aves,Accipitriformes,Accipitridae,Spizaetus,isidori,Black-and-chestnut Eagle,6,0,0
Aves,Passeriformes,Thamnophilidae,Dichrozona,cincta,Banded Antbird,6,0,0
Aves,Galliformes,Phasianidae,Alectoris,graeca,Rock Partridge,6,0,0
Aves,Piciformes,Picidae,Campephilus,pollens,Powerful Woodpecker,6,0,0
Aves,Accipitriformes,Accipitridae,Ictinia,plumbea,Plumbeous Kite,6,0,0
Aves,Falconiformes,Falconidae,Falco,,Falco Species,6,0,0
Aves,Galliformes,Megapodiidae,,,Megapodiidae Family,6,2,7
Aves,Passeriformes,Formicariidae,Formicarius,rufifrons,Rufous-fronted Antthrush,6,0,0
Aves,Passeriformes,Passerellidae,Arremon,,Arremon Species,6,0,0
Aves,Pelecaniformes,Ardeidae,Butorides,,Butorides Species,6,0,0
Aves,Accipitriformes,Accipitridae,Accipiter,henstii,Henst's Goshawk,6,0,0
Aves,Accipitriformes,Accipitridae,Aquila,africana,Cassin's Hawk-eagle,6,3,0
Aves,Columbiformes,Columbidae,Streptopelia,turtur,European Turtle-dove,6,0,0
Aves,Struthioniformes,Tinamidae,Nothura,,Nothura Species,6,0,0
Aves,Galliformes,Phasianidae,Francolinus,pintadeanus,Chinese Francolin,6,0,0
Aves,Piciformes,Picidae,Picoides,,Picoides Species,6,0,0
Mammalia,Carnivora,Canidae,Urocyon,,Urocyon Species,6,0,0
Mammalia,Rodentia,Sciuridae,Ratufa,bicolor,Black Giant Squirrel,6,0,0
Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,Collared Sparrowhawk,6,0,5
Aves,Passeriformes,Vangidae,Mystacornis,crossleyi,Crossley's Vanga,6,0,0
Mammalia,Rodentia,Sciuridae,Neotamias,siskiyou,Siskiyou Chipmunk,6,0,0
Aves,Passeriformes,Malaconotidae,Laniarius,aethiopicus,Gonolek à ventre blanc,6,1,0
Aves,Accipitriformes,Accipitridae,Accipiter,minullus,Little Sparrowhawk,6,0,0
Aves,Accipitriformes,Accipitridae,Buteogallus,,Buteogallus Species,6,0,0
Aves,Passeriformes,Meliphagidae,Lichenostomus,melanops,Yellow-tufted Honeyeater,6,0,0
Mammalia,Rodentia,Caviidae,Hydrochoerus,,Hydrochoerus Species,6,0,0
Diplopoda,,,,,Millipede,6,0,0
Aves,Passeriformes,Monarchidae,Terpsiphone,cyanescens,Blue Paradise-flycatcher,6,2,0
Aves,Galliformes,Phasianidae,Perdix,hodgsoniae,Tibetan Partridge,6,0,0
Mammalia,Rodentia,Gliridae,Dryomys,nitedula,Forest Dormouse,6,0,0
Aves,Psittaciformes,Psittacidae,Neophema,pulchella,Turquoise Parrot,6,0,0
Mammalia,Primates,Lemuridae,Hapalemur,aureus,Golden Bamboo Lemur,6,0,0
Mammalia,Rodentia,Sciuridae,Sciurus,anomalus,Caucasian Squirrel,6,0,0
Mammalia,Perissodactyla,Tapiridae,,,Tapiridae Family,6,0,0
Aves,Passeriformes,Acanthizidae,Calamanthus,pyrrhopygius,Chestnut-rumped Heathwren,6,0,0
Mammalia,Eulipotyphla,Erinaceidae,Hemiechinus,auritus,Long-eared Hedgehog,5,0,0
Aves,Strigiformes,Strigidae,Otus,,Otus Species,5,0,0
Aves,Passeriformes,Muscicapidae,Cyornis,hainanus,Hainan Blue-flycatcher,5,0,0
Aves,Passeriformes,Tyrannidae,Muscisaxicola,maclovianus,Dark-faced Ground-tyrant,5,0,0
Arachnida,Araneae,,,,Spider,5,37,1
Aves,Passeriformes,Cardinalidae,Piranga,ludoviciana,Western Tanager,5,0,2
Mammalia,Rodentia,Caviidae,Cavia,aperea,Brazilian Guinea Pig,5,0,0
Aves,Otidiformes,Otididae,Ardeotis,kori,Kori Bustard,5,0,0
Mammalia,Rodentia,Sciuridae,Dremomys,pernyi,Perny's Long-nosed Squirrel,5,0,0
Aves,Passeriformes,Parulidae,Geothlypis,trichas,Common Yellowthroat,5,0,0
Aves,Accipitriformes,Accipitridae,Haliastur,sphenurus,Whistling Kite,5,0,0
Aves,Piciformes,Picidae,Dendrocopos,,Dendrocopos Species,5,0,0
Aves,Galliformes,Phasianidae,Scleroptila,psilolaema,Moorland Francolin,5,0,0
Aves,Passeriformes,Ptilonorhynchidae,,,Ptilonorhynchidae Family,5,0,0
Aves,Passeriformes,Passerellidae,Arremon,flavirostris,Saffron-billed Sparrow,5,0,0
Aves,Passeriformes,Pycnonotidae,Pycnonotus,erythropthalmos,Spectacled Bulbul,5,0,0
Reptilia,Squamata,Colubridae,Pituophis,catenifer catenifer,Pacific Gophersnake,5,0,0
Aves,Passeriformes,Campephagidae,Lalage,tricolor,White-winged Triller,5,0,0
Mammalia,Carnivora,Canidae,Lycaon,pictus,African Wild Dog,5,0,0
Aves,Passeriformes,Paridae,Poecile,rufescens,Chestnut-backed Chickadee,5,0,0
Mammalia,Didelphimorphia,Didelphidae,Marmosa,murina,Linnaeus's Mouse Opossum,5,0,0
Aves,Passeriformes,Turdidae,Geokichla,sibirica,Siberian Thrush,5,0,0
Mammalia,Didelphimorphia,Didelphidae,Monodelphis,scalops,Long-nosed Short-tailed Opossum,5,0,0
Aves,Galliformes,Odontophoridae,Dendrortyx,barbatus,Bearded Wood-partridge,5,0,0
Aves,Galliformes,Odontophoridae,Callipepla,,Callipepla Species,5,0,0
Reptilia,Squamata,Colubridae,Coluber,constrictor,Eastern Racer,5,0,0
Aves,Passeriformes,Thamnophilidae,Sakesphorus,luctuosus,Glossy Antshrike,5,0,0
Aves,Passeriformes,Ploceidae,Ploceus,insignis,Brown-capped Weaver,5,0,0
Aves,Passeriformes,Thraupidae,Coereba,flaveola,Bananaquit,5,0,0
Aves,Passeriformes,Tyrannidae,Tyrannus,,Tyrannus Species,5,0,0
Aves,Charadriiformes,Laridae,Larus,smithsonianus,American Herring Gull,5,0,0
Aves,Passeriformes,Muscicapidae,Saxicola,rubicola,European Stonechat,5,0,0
Mammalia,Rodentia,Muridae,Lophuromys,flavopunctatus,Yellow-spotted Brush-furred Rat,5,0,0
Aves,Passeriformes,Laniidae,Lanius,,Lanius Species,5,0,0
Mammalia,Cetartiodactyla,Bovidae,Capra,nubiana,Nubian Ibex,5,5,0
Aves,Pelecaniformes,Threskiornithidae,Plegadis,chihi,White-faced Ibis,5,0,0
Aves,Charadriiformes,Recurvirostridae,Recurvirostra,americana,American Avocet,5,0,0
Mammalia,Rodentia,Heteromyidae,,,Heteromyidae Family,5,0,0
Aves,Pelecaniformes,Ardeidae,Egretta,tricolor,Tricolored Heron,5,0,0
Mammalia,Rodentia,Sciuridae,Neotamias,quadrivittatus,Colorado Chipmunk,5,0,0
Aves,Passeriformes,Icteridae,Cacicus,solitarius,Solitary Cacique,5,9,4
Aves,Passeriformes,Pardalotidae,Pardalotus,striatus,Striated Pardalote,4,0,0
Aves,Passeriformes,Regulidae,Regulus,ignicapilla,Common Firecrest,4,0,0
Aves,Passeriformes,Corvidae,Cyanocorax,cristatellus,Curl-crested Jay,4,0,0
Aves,Passeriformes,Nectariniidae,Cinnyris,osea,Palestine Sunbird,4,0,0
Aves,Passeriformes,Thamnophilidae,Myrmoborus,myotherinus,Black-faced Antbird,4,0,0
Aves,Piciformes,Picidae,Dendropicos,griseocephalus,Olive Woodpecker,4,0,5
Aves,Columbiformes,Columbidae,Columbina,,Columbina Species,4,0,0
Aves,Musophagiformes,Musophagidae,Tauraco,schuettii,Black-billed Turaco,4,0,10
Mammalia,Carnivora,Mustelidae,Meles,,Meles Species,4,0,0
Mammalia,Carnivora,Mephitidae,Conepatus,,Conepatus Species,4,0,0
Aves,Passeriformes,Acrocephalidae,Nesillas,typica,Fauvette malgache,4,0,0
Aves,Piciformes,Ramphastidae,Ramphastos,toco,Toco Toucan,4,0,0
Aves,Passeriformes,Parulidae,Setophaga,ruticilla,American Redstart,4,0,0
Aves,Passeriformes,Motacillidae,Motacilla,,Motacilla Species,4,0,0
Mammalia,Rodentia,Muridae,Notomys,alexis,Spinifex Hopping Mouse,4,0,0
Aves,Passeriformes,Prunellidae,Prunella,collaris,Alpine Accentor,4,0,0
Aves,Passeriformes,Rhinocryptidae,Scytalopus,latrans,Blackish Tapaculo,4,0,0
Reptilia,Squamata,Dactyloidae,Anolis,sagrei,Cuban Brown Anole,4,1,0
Mammalia,Cetartiodactyla,Bovidae,Bubalus,,Bubalus Species,4,0,0
Mammalia,Primates,Callitrichidae,Saguinus,niger,Black-handed Tamarin,4,0,0
Mammalia,Afrosoricida,Tenrecidae,Microgale,,Microgale Species,4,0,0
Mammalia,Didelphimorphia,Didelphidae,Glironia,venusta,Bushy-tailed Opossum,4,45,0
Aves,Falconiformes,Falconidae,Falco,berigora,Brown Falcon,4,0,0
Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Hispid Cotton Rat,4,0,0
Mammalia,Scandentia,Tupaiidae,Anathana,ellioti,Madras Treeshrew,4,0,0
Aves,Accipitriformes,Accipitridae,Gyps,himalayensis,Himalayan Griffon,4,0,0
Aves,Passeriformes,Muscicapidae,Phoenicurus,phoenicurus,Common Redstart,4,0,0
Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's Hawk,4,0,0
Aves,Falconiformes,Falconidae,,,Falconidae Family,4,3,0
Aves,Cuculiformes,Cuculidae,Cuculus,rochii,Madagascar Cuckoo,4,0,0
Aves,Galliformes,Phasianidae,Xenoperdix,udzungwensis,Udzungwa Forest-partridge,4,5,0
Aves,Passeriformes,Furnariidae,Dendrocincla,fuliginosa,Plain-brown Woodcreeper,4,0,46
Aves,Passeriformes,Corvidae,Garrulus,,Garrulus Species,4,0,0
Aves,Passeriformes,Pycnonotidae,Bleda,syndactylus,Red-tailed Bristlebill,4,0,0
Mammalia,Cetartiodactyla,Bovidae,Capricornis,,Capricornis Species,4,0,0
Mammalia,Cetartiodactyla,Suidae,Phacochoerus,aethiopicus,Desert Warthog,4,49,0
Aves,Gruiformes,Rallidae,Sarothrura,pulchra,White-spotted Flufftail,4,0,0
Aves,Passeriformes,Corvidae,Perisoreus,infaustus,Siberian Jay,4,1,0
Aves,Gruiformes,Rallidae,Sarothrura,watersi,Slender-billed Flufftail,4,0,0
Mammalia,Didelphimorphia,Didelphidae,Marmosa,mexicana,Mexican Mouse Opossum,4,0,0
Aves,Passeriformes,Fringillidae,Pyrrhula,pyrrhula,Bullfinch,4,0,0
Aves,Passeriformes,Corvidae,Cyanocorax,cyanomelas,Purplish Jay,4,3,0
Aves,Passeriformes,Meliphagidae,,,Honeyeater Family,4,0,0
Mammalia,Cingulata,Chlamyphoridae,,,Chlamyphoridae Family,3,0,0
Mammalia,Rodentia,Sciuridae,Sundasciurus,tenuis,Slender Squirrel,3,0,0
Mammalia,Rodentia,Sciuridae,Aeromys,tephromelas,Black Flying Squirrel,3,0,0
Aves,Passeriformes,Grallariidae,Grallaricula,nana,Slaty-crowned Antpitta,3,0,0
Aves,Strigiformes,Tytonidae,Tyto,,Tyto Species,3,0,0
Aves,Passeriformes,Meliphagidae,Acanthorhynchus,superciliosus,Western Spinebill,3,0,0
Aves,Passeriformes,Thraupidae,Volatinia,jacarina,Blue-black Grassquit,3,0,0
Aves,Passeriformes,Cotingidae,Pipreola,riefferii,Green-and-black Fruiteater,3,0,0
Aves,Passeriformes,Thraupidae,Tachyphonus,,Tachyphonus Species,3,0,0
Aves,Caprimulgiformes,Trochilidae,Colibri,serrirostris,White-vented Violet-ear,3,0,0
Aves,Strigiformes,Strigidae,Bubo,,Bubo Species,3,0,0
Aves,Strigiformes,Strigidae,Strix,woodfordii,African Wood-owl,3,0,0
Aves,Passeriformes,Passerellidae,Junco,,Junco Species,3,0,0
Aves,Passeriformes,Tyrannidae,Sublegatus,obscurior,Amazonian Scrub-flycatcher,3,0,0
Aves,Passeriformes,Muscicapidae,Monticola,sharpei,Forest Rock Thrush,3,0,0
Aves,Struthioniformes,Tinamidae,Tinamus,solitarius,Solitary Tinamou,3,0,0
Mammalia,Rodentia,Sciuridae,Cynomys,,Cynomys Species,3,0,0
Mammalia,Rodentia,Spalacidae,Rhizomys,sumatrensis,Indomalayan Bamboo Rat,3,0,0
Mammalia,Cetartiodactyla,Antilocapridae,,,Antilocapridae Family,3,0,0
Mammalia,Rodentia,Thryonomyidae,Thryonomys,gregorianus,Lesser Cane Rat,3,0,0
Mammalia,Carnivora,Viverridae,Poiana,richardsonii,Central African Oyan,3,0,10
Mammalia,Carnivora,Mustelidae,Eira,,Eira Species,3,0,14
Aves,Passeriformes,Oriolidae,Oriolus,sagittatus,Olive-backed Oriole,3,0,0
Aves,Charadriiformes,Scolopacidae,Actitis,macularius,Spotted Sandpiper,3,0,0
Aves,Psittaciformes,Psittacidae,Alisterus,scapularis,Australian King-parrot,3,0,0
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern Goshawk,3,14,0
Reptilia,Testudines,Chelidae,Chelodina,longicollis,Eastern Snake-necked Turtle,3,0,0
Aves,Passeriformes,Furnariidae,Cranioleuca,,Cranioleuca Species,3,0,0
Aves,Passeriformes,Tyrannidae,Pseudotriccus,ruficeps,Rufous-headed Pygmy-tyrant,3,0,0
Aves,Passeriformes,Meliphagidae,Trichodere,,Trichodere Species,3,0,0
Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,Western Wood-pewee,3,0,0
Aves,Galliformes,Odontophoridae,Odontophorus,leucolaemus,Black-breasted Wood-quail,3,0,0
Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,fuliginosus,Sooty Dunnart,3,0,0
Aves,Passeriformes,Furnariidae,Dendrocolaptes,,Dendrocolaptes Species,3,0,0
Mammalia,Primates,Cheirogaleidae,Microcebus,murinus,Grey Mouse Lemur,3,0,0
Aves,Passeriformes,Thraupidae,Tangara,vassorii,Blue-and-black Tanager,3,0,0
Mammalia,Primates,Cebidae,Cebus,imitator,Panamanian White-faced Capuchin,3,0,0
Aves,Passeriformes,Monarchidae,Myiagra,rubecula,Leaden Flycatcher,3,0,0
Aves,Falconiformes,Falconidae,Micrastur,ruficollis,Barred Forest-falcon,3,0,0
Aves,Passeriformes,Turdidae,Myadestes,ralloides,Andean Solitaire,3,0,0
Aves,Strigiformes,Strigidae,Bubo,bubo,Eagle Owl,3,0,0
Mammalia,Primates,Cheirogaleidae,Cheirogaleus,major,Geoffroy's Dwarf Lemur,3,0,0
Aves,Passeriformes,Monarchidae,Terpsiphone,mutata,Madagascar Paradise-flycatcher,3,0,0
Aves,Passeriformes,Climacteridae,Climacteris,picumnus,Brown Treecreeper,3,0,0
Aves,Galliformes,Phasianidae,Polyplectron,schleiermacheri,Bornean Peacock-pheasant,3,0,0
Aves,Passeriformes,Formicariidae,Chamaeza,,Chamaeza Species,3,0,0
Aves,Piciformes,Bucconidae,Malacoptila,fulvogularis,Black-streaked Puffbird,3,0,0
Aves,Accipitriformes,Accipitridae,Gyps,fulvus,Griffon Vulture,3,0,0
Aves,Passeriformes,Vangidae,Euryceros,prevostii,Helmet Vanga,3,0,0
Aves,Galliformes,Cracidae,Pipile,,Pipile Species,3,0,27
Aves,Passeriformes,Passerellidae,Aimophila,ruficeps,Rufous-crowned Sparrow,3,0,0
Aves,Strigiformes,Strigidae,Psiloscops,flammeolus,Flammulated Owl,3,3,0
Aves,Coraciiformes,Brachypteraciidae,Atelornis,crossleyi,Rufous-headed Ground-roller,3,3,0
Aves,Accipitriformes,Accipitridae,Chondrohierax,uncinatus,Hook-billed Kite,3,0,9
Aves,Piciformes,Picidae,Campephilus,haematogaster,Crimson-bellied Woodpecker,3,0,0
Aves,Passeriformes,Icteridae,Icterus,croconotus,Orange-backed Troupial,3,0,0
Aves,Strigiformes,Strigidae,Asio,madagascariensis,Madagascar Long-eared Owl,3,0,0
Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,3,0,0
Mammalia,Primates,Pitheciidae,Pithecia,pithecia,White-faced Saki,3,0,0
Aves,Columbiformes,Columbidae,Geopelia,,Geopelia Species,3,0,0
Aves,Columbiformes,Columbidae,Turtur,chalcospilos,Emerald-spotted Wood-dove,3,3,0
Aves,Passeriformes,Oriolidae,Sphecotheres,vieilloti,Australasian Figbird,3,0,0
Mammalia,Didelphimorphia,Didelphidae,Monodelphis,brevicaudata,Northern Red-sided Opossum,3,0,9
Aves,Passeriformes,Artamidae,Strepera,fuliginosa,Black Currawong,3,0,0
Aves,Passeriformes,Thraupidae,Paroaria,,Paroaria Species,3,0,0
Mammalia,Carnivora,Procyonidae,Bassariscus,sumichrasti,Cacomistle,3,0,0
Aves,Passeriformes,Certhiidae,Certhia,brachydactyla,Short-toed Treecreeper,3,0,0
Aves,Passeriformes,Pycnonotidae,Phyllastrephus,,Phyllastrephus Species,3,0,0
Aves,Passeriformes,Menuridae,,,Menuridae Family,3,0,3
Mammalia,Cetartiodactyla,Bovidae,Cephalophus,adersi,Aders' Duiker,3,0,0
Aves,Columbiformes,Columbidae,Macropygia,ruficeps,Little Cuckoo-dove,3,0,0
Aves,Passeriformes,Campephagidae,Coracina,cinerea,Ashy Cuckooshrike,3,0,0
Aves,Charadriiformes,Turnicidae,Turnix,maculosus,Red-backed Buttonquail,3,0,0
Aves,Passeriformes,Thraupidae,Porphyrospiza,caerulescens,Blue Finch,3,0,0
Mammalia,Primates,Callitrichidae,Saguinus,nigricollis,Black Mantle Tamarin,3,0,0
Aves,Passeriformes,Thamnophilidae,Neoctantes,niger,Black Bushbird,3,0,0
Aves,Strigiformes,Strigidae,Athene,noctua,Little Owl,3,0,0
Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged Hawk,3,0,0
Aves,Passeriformes,Fringillidae,Spinus,psaltria,Lesser Goldfinch,3,0,0
Aves,Passeriformes,Thraupidae,Sporophila,,Sporophila Species,3,0,0
Aves,Passeriformes,Corvidae,Cyanocorax,colliei,Black-throated Magpie-jay,3,0,0
Aves,Psittaciformes,Psittacidae,,,Psittacidae Family,3,0,1
Aves,Columbiformes,Columbidae,Stigmatopelia,chinensis,Spotted Turtle-Dove,3,3,0
Aves,Passeriformes,Cardinalidae,Passerina,,Passerina Species,3,0,0
Mammalia,Rodentia,Cricetidae,Neotoma,albigula,White-throated Woodrat,3,0,0
Aves,Passeriformes,Thraupidae,Ramphocelus,carbo,Silver-beaked Tanager,3,0,0
Aves,Passeriformes,Thamnophilidae,Schistocichla,leucostigma,Spot-winged Antbird,3,0,0
Aves,Charadriiformes,Charadriidae,,,Charadriidae Family,3,0,0
Aves,Psittaciformes,Cacatuidae,Cacatua,alba,White Cockatoo,3,0,0
Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,Spectacled Caiman,3,0,0
Aves,Passeriformes,Tyrannidae,Empidonax,,Empidonax Species,3,0,0
Aves,Passeriformes,Parulidae,Cardellina,pusilla,Wilson's Warbler,3,0,0
Mammalia,Rodentia,Sciuridae,Heliosciurus,rufobrachium,Red-legged Sun Squirrel,3,0,0
Aves,Passeriformes,Rhinocryptidae,Liosceles,thoracicus,Rusty-belted Tapaculo,3,0,0
Aves,Passeriformes,Pachycephalidae,Pachycephala,pectoralis,Australian Golden Whistler,3,0,0
Mammalia,Eulipotyphla,Erinaceidae,Paraechinus,aethiopicus,Desert Hedgehog,3,0,0
Mammalia,Rodentia,Muridae,Deomys,ferrugineus,Congo Forest Mouse,3,0,0
Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,occidentalis,Western Ringtail Possum,3,0,0
Aves,Passeriformes,Thamnophilidae,Myrmoderus,ferrugineus,Ferruginous-backed Antbird,3,0,0
Aves,Pelecaniformes,Ardeidae,Tigrisoma,,Tigrisoma Species,3,0,0
Aves,Passeriformes,Thamnophilidae,Myrmornis,torquata,Southern Wing-banded Antbird,3,0,0
Aves,Passeriformes,Meliphagidae,Meliphaga,lewinii,Lewin's Honeyeater,3,1,1
Aves,Passeriformes,Thamnophilidae,Rhegmatorhina,melanosticta,Hairy-crested Antbird,3,0,0
Reptilia,Squamata,Elapidae,Pseudechis,guttatus,Blue-bellied Black Snake,3,0,0
Aves,Passeriformes,Eupetidae,Eupetes,macrocerus,Rail-babbler,3,0,0
Aves,Coraciiformes,Alcedinidae,Megaceryle,torquata,Ringed Kingfisher,3,0,0
Aves,Columbiformes,Columbidae,Phaps,,Phaps Species,3,0,0
Mammalia,Rodentia,Sciuridae,Sciurus,deppei,Deppe's Squirrel,3,3,0
Aves,Passeriformes,Icteridae,Psarocolius,angustifrons,Russet-backed oropendola,3,0,1
Aves,Cathartiformes,,,,Cathartiformes Order,3,0,0
Aves,Passeriformes,Icteridae,Amblycercus,holosericeus,Yellow-billed Cacique,3,0,0
Aves,Passeriformes,Maluridae,Stipiturus,malachurus,Southern Emu-wren,3,0,0
Aves,Passeriformes,Muscicapidae,Chamaetylas,poliophrys,Red-throated Alethe,3,0,0
Mammalia,Scandentia,Tupaiidae,Tupaia,montana,Mountain Treeshrew,3,0,0
Aves,Passeriformes,Furnariidae,Geositta,poeciloptera,Campo Miner,3,0,0
Mammalia,Rodentia,Sciuridae,Sundasciurus,lowii,Low's Squirrel,3,0,0
