class,order,family,genus,species,common_name,count_train,count_validation,count_test
Aves,Passeriformes,Motacillidae,Motacilla,cinerea,Grey Wagtail,17,0,0
Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied Whistling-duck,17,0,0
Aves,Passeriformes,Furnariidae,,,Furnariidae Family,17,3,1
Aves,Passeriformes,Meliphagidae,Phylidonyris,novaehollandiae,New Holland Honeyeater,17,0,0
Mammalia,Scandentia,Tupaiidae,Tupaia,tana,Large Treeshrew,17,0,68
Aves,Passeriformes,Turdidae,Turdus,leucomelas,Pale-breasted Thrush,16,0,0
Mammalia,Primates,Atelidae,Alouatta,palliata,Mantled Howler Monkey,16,0,0
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common Nighthawk,16,12,0
Aves,Columbiformes,Columbidae,Geotrygon,,Geotrygon Species,16,0,0
Aves,Accipitriformes,Accipitridae,Buteo,brachypterus,Madagascar Buzzard,16,0,0
Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,Black-necked Stilt,16,0,0
Aves,Passeriformes,Timaliidae,Mixornis,gularis,Pin-striped Tit-babbler,16,0,0
Mammalia,Eulipotyphla,Erinaceidae,Atelerix,albiventris,Four-toed Hedgehog,16,0,0
Aves,Passeriformes,Corcoracidae,Struthidea,cinerea,Apostlebird,16,3,0
Aves,Passeriformes,Muscicapidae,Cossypha,niveicapilla,Snowy-crowned Robin-chat,16,0,0
Aves,Passeriformes,Icteridae,Cacicus,cela,Yellow-rumped Cacique,16,0,3
Mammalia,Carnivora,Ursidae,Ursus,,Ursus Species,16,0,17
Mammalia,Cetartiodactyla,Tayassuidae,Pecari,,Pecari Species,16,0,301
Aves,Passeriformes,Motacillidae,Anthus,gustavi,Pechora Pipit,16,0,0
Aves,Passeriformes,Tyrannidae,Knipolegus,lophotes,Crested Black-tyrant,16,0,0
Aves,Passeriformes,Furnariidae,Campylorhamphus,trochilirostris,Red-billed Scythebill,16,0,0
Aves,Struthioniformes,Tinamidae,Crypturellus,atrocapillus,Black-capped Tinamou,16,0,0
Mammalia,Carnivora,Mustelidae,Lutrogale,perspicillata,Smooth-coated Otter,15,0,0
Aves,Passeriformes,Muscicapidae,Chamaetylas,fuelleborni,White-chested Alethe,15,0,0
Aves,Passeriformes,Paridae,,,Paridae Family,15,5,0
Mammalia,Eulipotyphla,Soricidae,,,Soricidae Family,15,13,0
Aves,Galliformes,Phasianidae,Pternistis,leucoscepus,Yellow-necked Francolin,15,0,0
Reptilia,Squamata,Teiidae,,,Teiidae Family,15,3,2
Aves,Piciformes,Picidae,Sphyrapicus,nuchalis,Red-naped Sapsucker,15,0,0
Aves,Passeriformes,Turdidae,Sialia,mexicana,Western Bluebird,15,0,1
Aves,Passeriformes,Turdidae,Turdus,iliacus,Redwing,15,0,0
Reptilia,Squamata,Elapidae,Pseudechis,australis,King Brown Snake,15,0,0
Aves,Columbiformes,Columbidae,Ducula,badia,Mountain Imperial-Pigeon,15,0,0
Aves,Passeriformes,Corvidae,Cyanopica,cyanus,Asian Azure-winged Magpie,15,6,0
Mammalia,Rodentia,Sciuridae,Microsciurus,flaviventer,Amazon Dwarf Squirrel,15,2,0
Aves,Falconiformes,Falconidae,Falco,mexicanus,Prairie Falcon,15,0,0
Aves,Passeriformes,Zosteropidae,Zosterops,lateralis,Silvereye,15,3,0
Aves,Coraciiformes,Momotidae,Momotus,aequatorialis,Highland Motmot,15,0,0
Aves,Passeriformes,Acanthizidae,Acanthiza,reguloides,Buff-rumped Thornbill,15,0,0
Aves,Passeriformes,Meliphagidae,Nesoptilotis,leucotis,White-eared Honeyeater,15,0,9
Mammalia,Carnivora,Mustelidae,Melogale,everetti,Bornean Ferret Badger,15,0,0
Aves,Passeriformes,Nectariniidae,Arachnothera,dilutior,Palawan Spiderhunter,15,0,0
Aves,Passeriformes,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,15,3,32
Aves,Columbiformes,Columbidae,Spilopelia,suratensis,Western Spotted Dove,15,0,0
Aves,Passeriformes,Furnariidae,Pseudocolaptes,boissonneauii,Streaked Tuftedcheek,15,0,0
Aves,Passeriformes,Meliphagidae,Anthochaera,chrysoptera,Little Wattlebird,15,0,0
Aves,Galliformes,Phasianidae,Arborophila,hyperythra,Bornean Partridge,15,47,0
Mammalia,Rodentia,Dinomyidae,Dinomys,branickii,Pacarana,15,0,0
Mammalia,Primates,Atelidae,Alouatta,sara,Bolivian Red Howler Monkey,15,0,0
Aves,Charadriiformes,Scolopacidae,Gallinago,andina,Puna Snipe,14,0,0
Mammalia,Didelphimorphia,Didelphidae,Marmosops,noctivagus,White-bellied Slender Mouse Opossum,14,7,0
Mammalia,Carnivora,Felidae,Panthera,leo,Lion,14,13,0
Aves,Procellariiformes,Procellariidae,Ardenna,tenuirostris,Short-tailed Shearwater,14,0,0
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,,Caprimulgus Species,14,0,0
Aves,Piciformes,Picidae,Picus,rabieri,Red-collared Woodpecker,14,10,0
Aves,Galliformes,Cracidae,Crax,,Crax Species,14,0,0
